service_id,date,exception_type
Sun / Hol,20200105,1
Sun / Hol,20200112,1
Sun / Hol,20200119,1
Sun / Hol,20200126,1
Sun / Hol,20200202,1
Sun / Hol,20200209,1
Sun / Hol,20200216,1
Sun / Hol,20200223,1
Sun / Hol,20200301,1
Sun / Hol,20200308,1
Sun / Hol,20200315,1
Sun / Hol,20200322,1
Sun / Hol,20200329,1
Sun / Hol,20200405,1
Sun / Hol,20200412,1
Sun / Hol,20200419,1
Sun / Hol,20200426,1
Saturday,20200111,1
Saturday,20200118,1
Saturday,20200125,1
Saturday,20200201,1
Saturday,20200208,1
Saturday,20200215,1
Saturday,20200222,1
Saturday,20200229,1
Saturday,20200307,1
Saturday,20200314,1
Saturday,20200321,1
Saturday,20200328,1
Saturday,20200404,1
Saturday,20200411,1
Saturday,20200418,1
Saturday,20200425,1
Saturday,20200502,1
Weekday,20200106,1
Weekday,20200107,1
Weekday,20200108,1
Weekday,20200109,1
Weekday,20200110,1
Weekday,20200113,1
Weekday,20200114,1
Weekday,20200115,1
Weekday,20200116,1
Weekday,20200117,1
Weekday,20200120,1
Weekday,20200121,1
Weekday,20200122,1
Weekday,20200123,1
Weekday,20200124,1
Weekday,20200127,1
Weekday,20200128,1
Weekday,20200129,1
Weekday,20200130,1
Weekday,20200131,1
Weekday,20200203,1
Weekday,20200204,1
Weekday,20200205,1
Weekday,20200206,1
Weekday,20200207,1
Weekday,20200210,1
Weekday,20200211,1
Weekday,20200212,1
Weekday,20200213,1
Weekday,20200214,1
Weekday,20200217,1
Weekday,20200218,1
Weekday,20200219,1
Weekday,20200220,1
Weekday,20200221,1
Weekday,20200224,1
Weekday,20200225,1
Weekday,20200226,1
Weekday,20200227,1
Weekday,20200228,1
Weekday,20200302,1
Weekday,20200303,1
Weekday,20200304,1
Weekday,20200305,1
Weekday,20200306,1
Weekday,20200309,1
Weekday,20200310,1
Weekday,20200311,1
Weekday,20200312,1
Weekday,20200313,1
Weekday,20200316,1
Weekday,20200317,1
Weekday,20200318,1
Weekday,20200319,1
Weekday,20200320,1
Weekday,20200323,1
Weekday,20200324,1
Weekday,20200325,1
Weekday,20200326,1
Weekday,20200327,1
Weekday,20200330,1
Weekday,20200331,1
Weekday,20200401,1
Weekday,20200402,1
Weekday,20200403,1
Weekday,20200406,1
Weekday,20200407,1
Weekday,20200408,1
Weekday,20200409,1
Weekday,20200410,1
Weekday,20200413,1
Weekday,20200414,1
Weekday,20200415,1
Weekday,20200416,1
Weekday,20200417,1
Weekday,20200420,1
Weekday,20200421,1
Weekday,20200422,1
Weekday,20200423,1
Weekday,20200424,1
Weekday,20200427,1
Weekday,20200428,1
Weekday,20200429,1
Weekday,20200430,1
Weekday,20200501,1
