stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
6,504,Kauffman & 19th St [nb],,45.635246,-122.681046,,,0,,,0
329,1077,NE 18th St & Devine,,45.635269,-122.614349,,,0,,,0
915,3194,SW Sam Jackson Pk & Campus Dr,,45.50034,-122.684349,,,0,,,0
978,6007,NE 11th Ave & Holladay,,45.529934,-122.654518,,,0,,,0
1158,6178,39th St. & J St. [nb],,45.583206,-122.326836,,,0,,,0
810,4178,NW 139th St at HB Fuller Park,,45.72168,-122.675636,,,0,,,0
809,3382,NE 3rd Ave & Joy,,45.588188,-122.397942,,,0,,,0
370,1150,Evergreen Blvd at Grant House [wb],,45.627972,-122.660294,,,0,,,0
3,3061,Fruit Valley Rd & 27th St [nb],,45.64146,-122.692513,,,0,,,0
1077,6128,McGillivray & Blairmont Dr,,45.607861,-122.522026,,,0,,,0
231,2974,NW 119th St & 31st Ave,,45.707142,-122.70269,,,0,,,0
736,1199,Mill Plain & Ogden [eb],,45.628624,-122.617645,,,0,,,0
221,3001,NW 36th Ave & 129th St,,45.715031,-122.707977,,,0,,,0
740,1203,Mill Plain & Andresen [eb],,45.626423,-122.600121,,,0,,,0
396,1138,Andresen & Evergreen Blvd [sb],,45.61454,-122.604118,,,0,,,0
187,932,NE 112th Ave & 39th St [sb],,45.650841,-122.558258,,,0,,,0
878,1607,VA Medical Center,,45.638275,-122.655548,,,0,,,0
968,3701,NE 139th St & 29th Ave [eb],,45.721851,-122.641579,,,0,,,0
656,1031,Ft Vancouver Wy & 25th St,,45.638931,-122.647858,,,0,,,0
355,1103,Fourth Plain & 105th Ave,,45.66362,-122.564934,,,0,,,0
364,1089,Fourth Plain & 127th Ave,,45.669922,-122.541748,,,0,,,0
643,2312,NE 3rd Ave 2100 Block,,45.588402,-122.385139,,,0,,,0
1039,6097,NE 117th Ave & 65th Street [nb],,45.670418,-122.552444,,,0,,,0
942,5003,SW 5th & Salmon,,45.516941,-122.67865,,,0,,,0
37,2840,NW 78th St & 14th Ave,,45.678749,-122.686157,,,0,,,0
1031,6056,Kauffman & 36th Street [nb],,45.648106,-122.680763,,,0,,,0
595,3242,Bernie Dr & Fruit Valley Rd,,45.673222,-122.690376,,,0,,,0
687,112,Andresen P&R,,45.642715,-122.598946,,,0,,,0
791,3179,NE Multnomah & 9th,,45.531506,-122.656174,,,0,,,0
596,3273,Grand & 1st St [nb],,45.621078,-122.643349,,,0,,,0
214,3003,Hathaway Rd 1800 Block,,45.72229,-122.689537,,,0,,,0
81,600,NE 18th St & Murton [wb],,45.635368,-122.638992,,,0,,,0
924,782,NE 9th Ave & 101st St,,45.695358,-122.66304,,,0,,,0
315,1066,NE 28th St & 109th Ave,,45.642311,-122.56237,,,0,,,0
109,627,Broadway & 22nd St,,45.637535,-122.670326,,,0,,,0
673,4143,Hazel Dell Ave & 101st St,,45.694321,-122.668983,,,0,,,0
912,638,W 8th Street & Main [eb],,45.627178,-122.672012,,,0,,,0
611,3304,Grand & 9th St [sb],,45.627239,-122.640732,,,0,,,0
519,794,Hazel Dell Ave 7200 Block,,45.67506,-122.66848,,,0,,,0
122,679,Fourth Plain & Ft Vancouver Wy [eb],,45.638378,-122.647163,,,0,,,0
886,305,SE 162nd Ave & Village Loop,,45.599529,-122.505859,,,0,,,0
583,3238,NE 162nd Ave & 23rd St [sb],,45.639118,-122.506248,,,0,,,0
839,3058,NE 18th St & 65th Ave [eb],,45.63636,-122.60408,,,0,,,0
542,1349,Hwy 99 & 86th St,,45.684738,-122.661041,,,0,,,0
149,2399,NE 117th Ave 9000 Block,,45.688381,-122.552696,,,0,,,0
374,1149,Evergreen Blvd 1400 Block [wb],,45.626778,-122.655518,,,0,,,0
58,2007,Lincoln & 57th St [sb],,45.66375,-122.682518,,,0,,,0
1167,6181,W 6th St 400 Block WB,,45.625759,-122.67485,,,0,,,0
420,2319,NE 3rd Ave 2700 Block,,45.588413,-122.378815,,,0,,,0
205,3104,NE 39th St & 155th Ave,,45.650398,-122.512268,,,0,,,0
1000,6041,Parkway Ave & 3rd St,,45.779228,-122.53727,,,0,,,0
1125,6167,Andresen Road [eb],,45.644844,-122.599457,,,0,,,0
570,3203,NE 137th Ave & 39th St [nb],,45.649712,-122.531693,,,0,,,0
353,2273,Fourth Plain & 102nd Ave,,45.66164,-122.569077,,,0,,,0
1123,6165,57th Avenue [eb],,45.64241,-122.611519,,,0,,,0
894,326,NE 138th Ave & 18th St [nb],,45.634018,-122.530945,,,0,,,0
497,2149,Mill Plain 15400 Block,,45.616508,-122.514053,,,0,,,0
667,3486,NE 152nd Ave & 94th St,,45.690769,-122.516533,,,0,,,0
477,1192,Mill Plain & V St [eb],,45.628281,-122.648071,,,0,,,0
619,3319,NE 28th St 12400 Block,,45.64283,-122.544952,,,0,,,0
161,835,W Main & 3rd Ave [wb],,45.780918,-122.540077,,,0,,,0
430,1171,E St 1700 Block,,45.581017,-122.352348,,,0,,,0
418,217,Andresen & Fourth Plain [nb],,45.644039,-122.600601,,,0,,,0
853,3702,NE 139th St at Legacy Hospital,,45.721821,-122.649544,,,0,,,0
1062,6089,SE 34th Street & Hiddenbrook Dr [eb],,45.596546,-122.483711,,,0,,,0
512,1220,Mill Plain 11700 Block,,45.62056,-122.551407,,,0,,,0
465,2106,Mill Plain & 98th Ave,,45.62096,-122.57209,,,0,,,0
390,1141,Evergreen Blvd 4100 Block,,45.622978,-122.62574,,,0,,,0
57,2006,Lincoln & 57th St [nb],,45.66375,-122.682419,,,0,,,0
445,1169,NE 3rd Ave 1400 Block,,45.588688,-122.396698,,,0,,,0
1064,6091,SE 192nd Avenue & 31st Street [nb],,45.598267,-122.47802,,,0,,,0
729,1092,Fourth Plain & 140th Ave,,45.672428,-122.527397,,,0,,,0
132,2695,NE 76th St 11000 Block,,45.677761,-122.559509,,,0,,,0
279,981,St Johns & 45th St,,45.6549,-122.635941,,,0,,,0
577,3128,Burton & 87th Ave,,45.639694,-122.584114,,,0,,,0
728,1091,Fourth Plain & 137th Ave [eb],,45.672421,-122.531242,,,0,,,0
1036,6064,Grand & 20th Street,,45.636311,-122.641777,,,0,,,0
704,4159,W Main 1700 Block,,45.780579,-122.555267,,,0,,,0
263,2225,Hwy 99 6300 Block,,45.668621,-122.664078,,,0,,,0
404,2053,Andresen & Mill Plain [sb],,45.625919,-122.60186,,,0,,,0
427,2327,E St & 9th St,,45.581291,-122.361893,,,0,,,0
463,1233,Mill Plain & 92nd Ave [wb],,45.622311,-122.578911,,,0,,,0
897,330,NE 138th Ave & 28th St,,45.64175,-122.530807,,,0,,,0
170,2689,Van Mall Dr & 72nd Ave,,45.657738,-122.59906,,,0,,,0
198,1318,SE 164th Ave & 32nd St,,45.598701,-122.504066,,,0,,,0
83,601,E 20th St & Grand [wb],,45.635876,-122.640991,,,0,,,0
245,2961,NW 99th St & 12th Ave [wb],,45.692902,-122.683197,,,0,,,0
717,4183,Lincoln & 53rd St [sb],,45.66095,-122.682549,,,0,,,0
652,978,St Johns & Petticoat Ln,,45.648479,-122.640297,,,0,,,0
638,3376,NE 3rd Ave & Weir,,45.584572,-122.369057,,,0,,,0
1079,6130,SE 136th Ave & Block 1200,,45.61314,-122.532364,,,0,,,0
1038,6096,NE 117th Ave & 65th St [sb],,45.670166,-122.552696,,,0,,,0
803,3195,N Vancouver & Weidler,,45.534512,-122.66777,,,0,,,0
61,597,NE 18th St & Brandt [wb],,45.634781,-122.630539,,,0,,,0
492,106,Fisher's Landing Transit Center,,45.594246,-122.505013,,,0,,,0
199,2909,SE 164th Ave at Fred Meyer [nb],,45.605618,-122.503784,,,0,,,0
591,3033,NE 78th St & 66th Ave,,45.678783,-122.605453,,,0,,,0
951,6004,SW 6th & Taylor,,45.517605,-122.679314,,,0,,,0
1111,6153,Washington & 12th Street [sb],,45.630524,-122.67276,,,0,,,0
294,1017,St Johns & 37th Ave [sb],,45.673981,-122.633667,,,0,,,0
657,1032,Ft Vancouver Wy 1900 Block,,45.63694,-122.651711,,,0,,,0
