route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2,Sun / Hol,863,Fruit Valley Rd & La Fra,1,1,3,0,0
2,Sun / Hol,882,FV to VA Transit Center,0,1,5,0,0
2,Sun / Hol,883,Columbia House Blvd at P,0,1,6,0,0
2,Sun / Hol,864,Grand To VA Transit Center,1,1,2,0,0
2,Sun / Hol,865,Fruit Valley Rd & La Fra,1,1,3,0,0
2,Sun / Hol,884,FV to VA Transit Center,0,1,5,0,0
2,Sun / Hol,885,Columbia House Blvd at P,0,1,6,0,0
2,Sun / Hol,866,Grand To VA Transit Center,1,1,2,0,0
2,Sun / Hol,867,Fruit Valley Rd & La Fra,1,1,3,0,0
2,Sun / Hol,886,FV to VA Transit Center,0,1,5,0,0
2,Sun / Hol,887,Columbia House Blvd at P,0,1,6,0,0
2,Sun / Hol,868,Grand To VA Transit Center,1,1,2,0,0
2,Sun / Hol,869,Fruit Valley Rd & La Fra,1,1,3,0,0
2,Sun / Hol,888,FV to VA Transit Center,0,1,5,0,0
2,Sun / Hol,889,Columbia House Blvd at P,0,1,6,0,0
2,Sun / Hol,870,Grand To VA Transit Center,1,1,2,0,0
2,Sun / Hol,871,Fruit Valley Rd & La Fra,1,1,3,0,0
2,Sun / Hol,890,FV to VA Transit Center,0,1,5,0,0
2,Sun / Hol,891,Columbia House Blvd at P,0,1,6,0,0
2,Sun / Hol,872,Grand To VA Transit Center,1,1,2,0,0
2,Sun / Hol,873,Fruit Valley Rd & La Fra,1,1,3,0,0
2,Sun / Hol,892,FV to VA Transit Center,0,1,5,0,0
2,Sun / Hol,893,Columbia House Blvd at P,0,1,6,0,0
2,Sun / Hol,874,Grand To VA Transit Center,1,1,2,0,0
2,Sun / Hol,875,Fruit Valley Rd & La Fra,1,1,3,0,0
2,Sun / Hol,894,FV to VA Transit Center,0,1,5,0,0
2,Sun / Hol,895,Columbia House Blvd at P,0,1,6,0,0
2,Sun / Hol,876,Grand To VA Transit Center,1,1,2,0,0
2,Sun / Hol,877,Fruit Valley Rd & La Fra,1,1,3,0,0
2,Sun / Hol,896,FV to VA Transit Center,0,1,5,0,0
2,Sun / Hol,897,Columbia House Blvd at P,0,1,6,0,0
2,Sun / Hol,878,Grand To VA Transit Center,1,1,2,0,0
2,Sun / Hol,879,Fruit Valley Rd & La Fra,1,1,3,0,0
2,Sun / Hol,898,FV to VA Transit Center,0,1,5,0,0
2,Sun / Hol,899,Columbia House Blvd at P,0,1,6,0,0
2,Sun / Hol,880,Grand To VA Transit Center,1,1,2,0,0
2,Sun / Hol,881,Fruit Valley Rd & La Fra,1,1,3,0,0
2,Sun / Hol,900,FV to VA Transit Center,0,1,5,0,0
6,Sun / Hol,1388,99th Street TC,1,2,12,0,0
5,Sun / Hol,1303,NE 29th Ave & WSUV Trail,1,2,9,0,0
5,Sun / Hol,1295,99th Street TC,0,2,10,0,0
6,Sun / Hol,1390,Mill Plain & Franklin [e,0,2,14,0,0
6,Sun / Hol,1399,99th Street TC,1,2,11,0,0
5,Sun / Hol,1305,NE 29th Ave & WSUV Trail,1,2,9,0,0
5,Sun / Hol,1297,99th Street TC,0,2,10,0,0
6,Sun / Hol,1392,Mill Plain & Franklin [e,0,2,14,0,0
6,Sun / Hol,1401,99th Street TC,1,2,11,0,0
5,Sun / Hol,1307,NE 29th Ave & WSUV Trail,1,2,9,0,0
5,Sun / Hol,1299,99th Street TC,0,2,10,0,0
6,Sun / Hol,1394,Mill Plain & Franklin [e,0,2,14,0,0
6,Sun / Hol,1403,99th Street TC,1,2,11,0,0
5,Sun / Hol,1309,NE 29th Ave & WSUV Trail,1,2,9,0,0
5,Sun / Hol,1301,99th Street TC,0,2,10,0,0
6,Sun / Hol,1396,Mill Plain & Franklin [e,0,2,14,0,0
6,Sun / Hol,1405,99th Street TC,1,2,11,0,0
6,Sun / Hol,1389,Mill Plain & Franklin [e,0,3,14,0,0
6,Sun / Hol,1398,99th Street TC,1,3,11,0,0
5,Sun / Hol,1304,NE 29th Ave & WSUV Trail,1,3,9,0,0
5,Sun / Hol,1296,99th Street TC,0,3,10,0,0
6,Sun / Hol,1391,Mill Plain & Franklin [e,0,3,14,0,0
6,Sun / Hol,1400,99th Street TC,1,3,11,0,0
5,Sun / Hol,1306,NE 29th Ave & WSUV Trail,1,3,9,0,0
5,Sun / Hol,1298,99th Street TC,0,3,10,0,0
6,Sun / Hol,1393,Mill Plain & Franklin [e,0,3,14,0,0
6,Sun / Hol,1402,99th Street TC,1,3,11,0,0
5,Sun / Hol,1308,NE 29th Ave & WSUV Trail,1,3,9,0,0
5,Sun / Hol,1300,99th Street TC,0,3,10,0,0
6,Sun / Hol,1395,Mill Plain & Franklin [e,0,3,14,0,0
6,Sun / Hol,1404,99th Street TC,1,3,11,0,0
5,Sun / Hol,1310,NE 29th Ave & WSUV Trail,1,3,9,0,0
5,Sun / Hol,1302,99th Street TC,0,3,10,0,0
6,Sun / Hol,1397,Mill Plain & Franklin [e,0,3,14,0,0
6,Sun / Hol,1406,Evergreen Blvd & C St,1,3,13,0,0
7,Sun / Hol,88,Fisher's Landing Transit,1,4,16,0,0
7,Sun / Hol,67,Broadway & Evergreen Blv,0,4,18,0,0
7,Sun / Hol,77,Fisher's Landing Transit,1,4,15,0,0
7,Sun / Hol,69,Broadway & Evergreen Blv,0,4,18,0,0
7,Sun / Hol,79,Fisher's Landing Transit,1,4,15,0,0
7,Sun / Hol,71,Broadway & Evergreen Blv,0,4,18,0,0
7,Sun / Hol,81,Fisher's Landing Transit,1,4,15,0,0
7,Sun / Hol,73,Broadway & Evergreen Blv,0,4,18,0,0
7,Sun / Hol,83,Fisher's Landing Transit,1,4,15,0,0
7,Sun / Hol,75,Broadway & Evergreen Blv,0,4,18,0,0
7,Sun / Hol,85,Fisher's Landing Transit,1,4,15,0,0
7,Sun / Hol,87,Broadway & Evergreen Blv,0,5,19,0,0
7,Sun / Hol,86,Fisher's Landing Transit,1,5,15,0,0
7,Sun / Hol,68,Broadway & Evergreen Blv,0,5,18,0,0
7,Sun / Hol,78,Fisher's Landing Transit,1,5,15,0,0
7,Sun / Hol,70,Broadway & Evergreen Blv,0,5,18,0,0
7,Sun / Hol,80,Fisher's Landing Transit,1,5,15,0,0
7,Sun / Hol,72,Broadway & Evergreen Blv,0,5,18,0,0
7,Sun / Hol,82,Fisher's Landing Transit,1,5,15,0,0
7,Sun / Hol,74,Broadway & Evergreen Blv,0,5,18,0,0
7,Sun / Hol,84,Fisher's Landing Transit,1,5,15,0,0
7,Sun / Hol,76,Broadway & Evergreen Blv,0,5,18,0,0
8,Sun / Hol,2737,Evergreen Blvd & C St,1,6,22,0,0
9,Sun / Hol,276,Van Mall TC,1,6,23,0,0
9,Sun / Hol,277,Evergreen/Andresen,0,6,24,0,0
8,Sun / Hol,2727,99th Street TC,0,6,21,0,0
8,Sun / Hol,2739,Evergreen Blvd & C St,1,6,22,0,0
9,Sun / Hol,2748,Van Mall TC,1,6,23,0,0
9,Sun / Hol,2757,Evergreen/Andresen,0,6,24,0,0
8,Sun / Hol,2729,99th Street TC,0,6,21,0,0
8,Sun / Hol,2741,Evergreen Blvd & C St,1,6,22,0,0
9,Sun / Hol,2750,Van Mall TC,1,6,23,0,0
9,Sun / Hol,2759,Evergreen/Andresen,0,6,24,0,0
8,Sun / Hol,2731,99th Street TC,0,6,21,0,0
8,Sun / Hol,2743,Evergreen Blvd & C St,1,6,22,0,0
9,Sun / Hol,2752,Van Mall TC,1,6,23,0,0
